A62_Strength_1,A62_Confidence,A63_Strength_1,A63_Confidence,A64_Strength_1,A64_Confidence,A65_Strength_1,A65_Confidence,A66_Strength_1,A66_Confidence,A67_Strength_1,A67_Confidence,A68_Strength_1,A68_Confidence,A69_Strength_1,A69_Confidence,A70_Strength_1,A70_Confidence,A71_Strength_1,A71_Confidence,A72_Strength_1,A72_Confidence,A73_Strength_1,A73_Confidence,A74_Strength_1,A74_Confidence,A75_Strength_1,A75_Confidence,A76_Strength_1,A76_Confidence,A77_Strength_1,A77_Confidence,A78_Strength_1,A78_Confidence,A79_Strength_1,A79_Confidence,A80_Strength_1,A80_Confidence,A81_Strength_1,A81_Confidence,A82_Strength_1,A82_Confidence,A83_Strength_1,A83_Confidence,A84_Strength_1,A84_Confidence,A85_Strength_1,A85_Confidence,A86_Strength_1,A86_Confidence,A87_Strength_1,A87_Confidence,A88_Strength_1,A88_Confidence,A89_Strength_1,A89_Confidence,A90_Strength_1,A90_Confidence,A91_Strength_1,A91_Confidence,A62_Truth,A63_Truth,A64_Truth,A65_Truth,A66_Truth,A67_Truth,A68_Truth,A69_Truth,A70_Truth,A71_Truth,A72_Truth,A73_Truth,A74_Truth,A75_Truth,A76_Truth,A77_Truth,A78_Truth,A79_Truth,A80_Truth,A81_Truth,A82_Truth,A83_Truth,A84_Truth,A85_Truth,A86_Truth,A87_Truth,A88_Truth,A89_Truth,A90_Truth,A91_Truth,A1_Component.truth,A2_Component.truth,A3_Component.truth,A4_Component.truth,A5_Component.truth,A6_Component.truth,A7_Component.truth,A8_Component.truth,A9_Component.truth,A10_Component.truth,A11_Component.truth,A12_Component.truth,A13_Component.truth,A14_Component.truth,A15_Component.truth,A16_Component.truth,A17_Component.truth,A18_Component.truth,A19_Component.truth,A20_Component.truth,A21_Component.truth,A22_Component.truth,A23_Component.truth,A24_Component.truth,A25_Component.truth,A26_Component.truth,A27_Component.truth,A28_Component.truth,A29_Component.truth,A30_Component.truth,A31_Component.truth,A32_Component.truth,A33_Component.truth,A34_Component.truth,A35_Component.truth,A36_Component.truth,A37_Component.truth,A38_Component.truth,A39_Component.truth,A40_Component.truth,A41_Component.truth,A42_Component.truth,A43_Component.truth,A44_Component.truth,A45_Component.truth,A46_Component.truth,A47_Component.truth,A48_Component.truth,A49_Component.truth,A50_Component.truth,A51_Component.truth,A52_Component.truth,A53_Component.truth,A54_Component.truth,A55_Component.truth,A56_Component.truth,A57_Component.truth,A58_Component.truth,A59_Component.truth,A60_Component.truth
0,6,0,9,0,3,0,7,0,9,0,7,3,4,62,7,0,10,0,8,44,1,24,4,0,9,53,0,0,10,0,10,0,9,0,6,53,5,7,5,100,10,0,9,100,10,82,7,100,10,100,10,100,10,100,10,20,4,100,10,3,3,3,3,3,3,3,1,3,3,3,3,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,1,3,3,1,3,1,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3
18,7,10,7,15,6,0,8,20,5,9,6,30,5,40,4,9,6,13,6,26,6,36,6,34,4,27,5,23,8,10,8,34,6,24,4,6,7,44,4,80,8,60,4,88,9,90,9,61,6,75,7,39,8,92,9,40,7,60,7,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,1,1,1,1,1,1,1,1,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
12,1,9,1,29,2,4,1,11,1,30,3,20,2,35,3,13,0,30,2,10,1,40,3,8,1,10,2,40,3,20,2,39,1,50,2,30,2,27,3,18,2,30,4,61,7,51,5,61,6,60,6,50,4,70,9,21,1,40,5,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,2,1,3,2,3,3,1,1,3,1,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,10,0,10,1,10,2,10,0,10,12,4,0,10,30,2,0,10,3,10,48,0,0,3,42,2,1,10,1,3,3,1,53,0,44,2,1,10,59,6,100,10,6,4,58,5,100,9,80,5,94,9,39,9,100,9,19,2,85,9,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,3,1,2,1,1,2,1,2,2,1,3,2,2,3,3,1,2,3,3,2,2,2,2,2,3,1,2,1,2,1,3,1,1,2,1,3,2,1,3,2,2,3,2,1,1,2,1,2,1,1,3,3,1,3,1,2,2,3,2,1,2,2,1,2
10,9,19,8,15,9,33,4,25,7,26,6,34,6,15,6,6,9,9,9,26,1,38,2,30,3,14,4,41,4,26,7,24,5,29,4,71,5,15,8,64,5,38,3,29,5,35,4,73,7,81,9,70,5,85,8,64,2,70,6,2,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,1,1,3,3,1,3,1,1,1,1,3,1,1,1,3,3,3,1,1,2,2,1,3,3,2,1,1,3,2,2,2,3,1,1,3,1,1,1,1,1,1,3,3,1,2,1,3,3,3,1,2,1,1,3,3,2,1,3,3,1,3,3,3,2,3,3,3,1,3,3,3,3
13,7,19,3,24,2,28,6,25,2,28,3,32,4,31,3,11,8,33,3,52,4,32,2,42,4,44,1,21,6,32,5,31,4,17,7,50,4,67,4,64,5,60,4,40,3,85,7,75,5,70,9,63,5,94,9,37,4,67,6,2,2,3,2,3,2,2,3,2,2,3,3,3,3,2,3,3,2,2,1,1,3,3,1,1,3,1,1,3,1,1,2,1,2,3,1,1,2,3,1,3,3,2,3,1,3,3,3,2,3,1,1,3,1,3,3,NA,3,1,2,1,1,2,1,2,2,3,3,3,1,1,3,1,1,3,1,1,1,3,1,1,2,2,3,2,1,3,3,1,3
0,10,0,10,16,7,0,10,0,10,14,9,0,10,19,8,0,10,0,10,8,7,0,8,0,8,0,9,17,6,36,6,0,9,8,8,21,7,38,5,80,9,40,4,57,4,39,5,73,7,75,7,60,5,100,10,32,8,42,4,2,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,1,3,3,3,1,1,3,1,2,3,1,1,3,3,1,1,1,1,3,1,3,3,2,1,1,3,2,3,3,2,1,1,3,1,1,1,1,3,1,3,2,3,2,1,3,3,3,1,2,1,3,2,3,2,3,3,3,3,3,3,1,3,3,2,3,1,3,1,3,3
2,7,1,9,10,7,0,10,21,8,10,6,1,10,71,6,0,10,0,10,40,6,0,10,11,7,0,8,20,8,20,6,9,6,21,8,71,3,61,7,100,10,92,9,82,8,90,8,71,9,91,9,71,7,91,9,2,7,20,8,2,2,3,2,3,3,2,2,2,2,3,2,2,3,2,3,2,1,1,3,1,1,1,3,1,1,1,1,2,2,1,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,2,3,1,3,1,3,3,1,1,1,3,3,1,3,2,3,2,3,3,1,1,3,2,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,1,1,3,1,3,1
84,8,80,8,34,7,81,8,30,8,40,7,73,7,53,6,78,7,84,8,81,7,38,6,85,8,51,5,81,8,85,8,84,8,82,8,79,8,36,6,75,8,38,8,30,7,73,6,37,8,88,8,34,7,39,6,85,8,77,7,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,3,2,2,1,1,2,2,1,2,3,2,3,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,3,1,1,1,3,1,3,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1
38,4,20,7,22,4,24,6,22,2,16,3,12,6,32,4,19,4,15,4,18,3,79,6,84,6,63,6,25,7,23,7,9,5,65,5,18,7,15,7,100,10,72,5,84,5,100,9,83,6,100,9,84,8,73,3,69,6,90,8,3,3,3,3,3,3,2,2,3,3,1,3,3,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,2,1,3,2,2,1,1,2,2,3,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,3,2,1,1,1,3,1,3,1,1,2,1,1,3,1,2,2,1,2,1,2,3,1,3
0,9,4,8,4,6,0,6,5,7,1,8,3,8,3,10,0,8,0,NA,6,2,68,5,3,10,4,8,5,7,5,7,0,9,5,7,1,6,11,9,99,9,99,8,75,7,90,10,97,9,62,7,87,9,86,10,1,8,70,6,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3,2,3,1,1,3,NA,3,3,1,3,3,1,3,2,3,3,2,1,3,3,3,3,3,1,1,1,2,3,3,2,3,3,3,1,3,2,1,3,3,3,3,1,3,3,3,1,3,1,3,3,2,3,1,2,2,3,1
30,3,21,3,37,2,14,7,19,4,82,7,14,5,30,4,10,1,26,2,19,6,62,2,13,6,16,2,14,4,24,2,72,5,37,2,29,3,31,3,83,7,82,7,59,4,78,7,66,3,81,5,69,3,91,7,66,3,14,4,3,2,3,3,3,3,3,1,3,3,2,3,2,2,2,1,1,2,2,3,3,1,1,3,1,1,1,1,3,2,1,1,NA,3,1,1,3,3,3,3,2,1,3,3,3,3,2,3,3,2,NA,3,3,1,1,1,2,1,1,3,3,3,2,3,3,3,1,1,2,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,1,3
12,7,25,8,31,2,23,6,20,4,25,6,29,5,29,1,11,8,16,7,33,6,60,3,27,7,15,1,22,8,82,8,71,3,65,4,67,6,70,4,88,7,72,7,78,7,67,5,90,9,74,7,84,9,94,9,66,5,91,9,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,1,3,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,2,3,1,3,3,3,3,1,3,2,3,1,3,2,3,2,2,3,1,3,1,3,1,1,1,1,2,3,3,2,1,1,2,1,3,3,3,1,2,1,3,1,2,1,3,1,3,3,2,1,2,2,1,2,3,2,1
20,9,52,7,41,8,9,9,28,7,16,8,23,5,62,6,39,6,16,5,72,7,43,7,81,8,77,8,86,8,71,8,84,8,42,5,68,7,84,8,92,9,74,6,82,8,81,9,83,9,93,9,87,8,85,9,21,8,68,6,2,2,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2,3,2,3,1,2,1,2,1,1,3,1,2,3,3,3,3,2,3,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,3,3,3,NA,1,1,1,2,3,3,2,2,3,1,3,3,3,3,1,2,3,3,3,3,2,3,3,3,3,2,3,2,2,1,3,3,3,3
69,6,65,4,0,9,82,7,66,6,10,8,82,7,75,6,72,2,31,6,88,7,30,5,86,8,14,4,31,7,21,6,35,3,64,7,50,5,19,4,100,9,20,7,60,6,0,8,37,4,100,10,22,7,71,6,34,6,84,7,2,2,2,2,2,1,2,3,2,3,2,3,2,2,2,3,1,3,2,2,1,2,1,1,1,1,3,1,3,2,1,1,1,2,2,1,2,2,2,3,2,1,2,1,3,3,2,2,2,2,2,1,3,1,2,1,3,1,1,2,3,3,2,1,3,2,1,1,1,1,1,3,1,2,1,2,2,1,3,3,1,2,1,2,2,1,2,3,1,1
0,10,0,10,3,5,0,9,0,9,15,8,0,10,0,6,0,10,3,10,39,1,53,0,0,5,0,6,0,8,0,6,5,9,0,9,0,10,53,5,91,9,80,7,53,6,100,10,53,5,100,9,68,4,100,9,81,7,90,9,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,1,2,3,1,1,1,3,1,3,1,1,3,3,2,2,1,1,2,2,1,3,3,3,1,3,2,2,2,2,2,1,3,2,1,2,3,3,3,1,2,2,3,2,3,3,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,1,3,1,3,3
2,10,12,7,8,8,8,5,38,4,36,4,14,7,23,6,13,6,15,7,72,8,24,6,16,6,20,6,16,7,33,5,7,9,29,6,19,6,68,8,91,9,23,5,34,5,62,7,53,6,70,7,82,8,82,8,36,5,89,8,2,2,2,2,3,2,2,3,2,2,NA,2,2,2,2,2,3,2,3,1,1,3,1,3,3,1,1,1,2,1,1,3,2,3,3,1,3,2,2,1,3,3,2,3,1,3,2,2,3,2,3,1,2,1,3,1,1,1,1,3,2,3,2,1,1,3,1,3,3,3,1,3,1,2,3,2,3,3,3,2,3,3,1,2,2,1,3,3,2,1
